question,expected_intent,predicted_intent,confidence,agency,recommended_action,escalation,pass_fail,answer
Can I reopen a closed 311 request?,status_followup,status_followup,0.75,NYC 311 / responsible agency listed on the service request,Use the service request number to check status through NYC 311 or the official 311 portal.,none,PASS,"1. Likely issue: The user wants to know if a closed 311 service request can be reopened.

2. Recommended next step: You cannot directly reopen a closed 311 request. Instead, use your original service request number to check the status or updates via the NYC 311 website or by calling 311 again. If the issue persists or was not resolved, you may need to submit a new request.

3. Agency or service area: NYC 311 and the specific agency responsible for the original request.

4. Notes from project or NYC 311 data: The system does not support reopening closed requests, but follow-up inquiries can be made referencing the original request number.

5. Escalation guidance if needed: If your issue is urgent or unresolved after follow-up, contact 311 for further assistance. For emergencies or safety threats, call 911 immediately."
How long does it take to resolve a pothole complaint?,status_followup,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,none,REVIEW,"1. Likely issue: Pothole repair request on a street.

2. Recommended next step: File a 311 complaint specifying the exact location of the pothole to initiate repair by the Department of Transportation (DOT).

3. Agency or service area: NYC Department of Transportation (DOT).

4. Notes from project or NYC 311 data: Pothole complaints fall under ""Street Condition"" and are primarily handled by DOT. Response times vary widely; median is about 4.6 hours, but some cases take much longer. Many pothole complaints are resolved quickly, often same-day, but delays can occur depending on location and workload.

5. Escalation guidance if needed: If the pothole poses an immediate safety hazard or causes damage, consider calling 911 for urgent assistance. Otherwise, follow up with 311 if repair is not addressed in a reasonable time. This prototype does not submit requests or track live status."
There is a fire in my building.,emergency,emergency,1.0,911,"Call 911 immediately if there is danger, a crime in progress, fire, medical emergency, or possible injury.",911,PASS,"Likely issue: Emergency or possible immediate danger.

Recommended next step: Call 911 immediately. This chatbot prototype does not handle emergencies or submit official reports.

Agency or service area: 911 emergency services.

Escalation guidance: If anyone may be hurt, there is fire, a crime in progress, or a possible gas leak, use 911 rather than 311."
Someone is breaking into a car.,emergency,emergency,1.0,911,"Call 911 immediately if there is danger, a crime in progress, fire, medical emergency, or possible injury.",911,PASS,"Likely issue: Emergency or possible immediate danger.

Recommended next step: Call 911 immediately. This chatbot prototype does not handle emergencies or submit official reports.

Agency or service area: 911 emergency services.

Escalation guidance: If anyone may be hurt, there is fire, a crime in progress, or a possible gas leak, use 911 rather than 311."
There is a gas smell in my apartment.,emergency,emergency,1.0,911,"Call 911 immediately if there is danger, a crime in progress, fire, medical emergency, or possible injury.",911,PASS,"Likely issue: Emergency or possible immediate danger.

Recommended next step: Call 911 immediately. This chatbot prototype does not handle emergencies or submit official reports.

Agency or service area: 911 emergency services.

Escalation guidance: If anyone may be hurt, there is fire, a crime in progress, or a possible gas leak, use 911 rather than 311."
A traffic light is out and cars are almost crashing.,street_sidewalk,street_sidewalk,0.6,DOT or DSNY depending on the issue,File a 311 street or sidewalk condition complaint with the exact location.,311_urgent_or_911_if_immediate_danger,PASS,"1. Likely issue: A malfunctioning or non-working traffic signal creating a hazardous situation for vehicles.

2. Recommended next step: For immediate danger or risk of accidents, call 911 right away to report the traffic hazard. For non-emergency reporting, file a 311 complaint specifying the exact location of the traffic light issue.

3. Agency or service area: New York City Department of Transportation (DOT) is typically responsible for traffic signal maintenance.

4. Notes from project or NYC 311 data: Traffic Signal Condition complaints are a common issue with over 260,000 records historically. Response times can vary, but urgent safety threats should be escalated immediately.

5. Escalation guidance if needed: If there is an immediate risk of crashes or injury, do not wait—call 911. Otherwise, use 311 to report the problem for DOT follow-up. This prototype does not submit requests or check live status."
A tree fell on a car and someone may be hurt.,emergency,emergency,1.0,911,"Call 911 immediately if there is danger, a crime in progress, fire, medical emergency, or possible injury.",911,PASS,"Likely issue: Emergency or possible immediate danger.

Recommended next step: Call 911 immediately. This chatbot prototype does not handle emergencies or submit official reports.

Agency or service area: 911 emergency services.

Escalation guidance: If anyone may be hurt, there is fire, a crime in progress, or a possible gas leak, use 911 rather than 311."
My block is a mess. What should I report?,unclear_general,unclear_general,0.3,NYC 311,Ask a clarifying question or contact 311 if the issue needs official city support.,311,PASS,"1. Likely issue: Your description ""My block is a mess"" is too general to identify a specific complaint type confidently. It could relate to litter, illegal parking, street maintenance, or other neighborhood concerns.

2. Recommended next step: Please clarify the specific problem on your block (e.g., trash, potholes, parking issues). If unsure, you can contact NYC 311 directly to describe the situation in detail and get help identifying the right service.

3. Agency or service area: NYC 311 is the central point for reporting most non-emergency neighborhood issues and can route your concern to the appropriate city agency.

4. Notes from project or NYC 311 data: Illegal parking is the most common complaint citywide, but without more detail, the chatbot cannot determine the issue confidently.

5. Escalation guidance if needed: For emergencies, safety threats, crimes in progress, fire, gas smell, or medical issues, call 911 immediately. Otherwise, contact 311 for official support."
Something smells bad outside.,unclear_general,unclear_general,0.3,NYC 311,Ask a clarifying question or contact 311 if the issue needs official city support.,311,PASS,"1. Likely issue: A bad or unpleasant smell outdoors, but the exact source or nature of the smell is unclear from the information provided.

2. Recommended next step: Since the issue is not specific, please observe if the smell is persistent, worsening, or associated with any visible source like garbage, sewage, or chemical odors. If it poses a health risk or is an emergency (e.g., gas leak), call 911 immediately. Otherwise, you may contact NYC 311 to report the odor with more details to help identify the cause.

3. Agency or service area: NYC 311 is the general point of contact for non-emergency odor complaints. Depending on the investigation, the Department of Environmental Protection or Department of Sanitation may be involved.

4. Notes from project or NYC 311 data: Odor complaints are less frequent and often require clarifying details to route correctly. Response times can vary widely depending on the nature and severity of the complaint.

5. Escalation guidance if needed: If the smell is accompanied by symptoms like dizziness, nausea, or if you suspect a hazardous material or gas leak, call 911 immediately for emergency response. For non-emergencies, follow up with 311 for official assistance."
There is a problem with my building.,housing_condition,housing_condition,0.6,HPD,File a 311 housing maintenance complaint with location and condition details.,none,PASS,"1. Likely issue: A housing maintenance problem in your building.

2. Recommended next step: File a 311 housing maintenance complaint providing specific details about your building’s location and the condition that needs attention.

3. Agency or service area: NYC Department of Housing Preservation and Development (HPD).

4. Notes from project or NYC 311 data: Housing maintenance complaints are commonly handled by HPD. Providing detailed information helps ensure proper routing and quicker response. Response times can vary, with some cases resolved quickly and others taking longer.

5. Escalation guidance if needed: If the issue involves immediate safety hazards or emergencies (e.g., fire, gas leak, structural collapse), call 911 right away. Otherwise, follow up with HPD through 311 if the problem persists or worsens."
I need help with a city issue.,unclear_general,unclear_general,0.3,NYC 311,Ask a clarifying question or contact 311 if the issue needs official city support.,311,PASS,"1. Likely issue: The specific city issue is unclear based on the information provided.

2. Recommended next step: Please provide more details about the problem you are experiencing with the city services so I can better assist you. If you need official city support or have an urgent issue, contacting NYC 311 directly is recommended.

3. Agency or service area: NYC 311 is the general point of contact for a wide range of city services and complaints.

4. Notes from project or NYC 311 data: The most common complaint type historically is Illegal Parking, and Brooklyn has the highest volume of requests. Response times vary widely, with some cases experiencing significant delays.

5. Escalation guidance if needed: If your issue involves an emergency, safety threat, crime in progress, fire, gas smell, or medical problem, please call 911 immediately. For all other city service issues, contacting 311 will ensure proper routing and assistance."
I do not know what category my complaint fits into.,unclear_general,unclear_general,0.3,NYC 311,Ask a clarifying question or contact 311 if the issue needs official city support.,311,PASS,"1. Likely issue: Your complaint category is unclear based on the information provided.

2. Recommended next step: Please try to describe your issue in more detail or contact NYC 311 directly by phone or online for personalized assistance in identifying the correct complaint category and next steps.

3. Agency or service area: NYC 311 is the central point for routing your concern to the appropriate city agency.

4. Notes from project or NYC 311 data: The most common complaint types include Illegal Parking, Noise (Residential or Street/Sidewalk), and Heat/Hot Water issues. If your issue relates to one of these, specifying it could help. Response times vary widely depending on the complaint type and location.

5. Escalation guidance if needed: If your issue involves an emergency, safety threat, crime in progress, fire, gas smell, or medical problem, please call 911 immediately. Otherwise, contacting 311 will ensure your concern is routed correctly."
What are the most common 311 complaints?,analysis_question,analysis_question,0.6,"Analysis output, not a single agency",Use the project output tables to support leadership recommendations.,none,PASS,"1. Likely issue:
The most common 311 complaint type in New York City is Illegal Parking, followed by Residential Noise and Heat/Hot Water issues.

2. Recommended next step:
If you have a specific complaint, you can file it through the official NYC 311 channels such as the website, mobile app, or by calling 311. For general information or analysis, reviewing aggregated complaint data can help understand citywide trends.

3. Agency or service area:
Complaints about Illegal Parking and Noise typically involve the NYC Department of Transportation (DOT) and the NYC Police Department (NYPD). Heat/Hot Water issues are handled by the NYC Housing Preservation and Development (HPD) or utility providers.

4. Notes from project or NYC 311 data:
- Illegal Parking accounts for over 2.6 million complaints in the dataset.
- Residential Noise complaints exceed 2.3 million.
- Heat/Hot Water issues are also a significant category with over 1.6 million complaints.
- Brooklyn has the highest volume of requests citywide.
- Median response time is about 4.6 hours, but some cases experience much longer delays.

5. Escalation guidance if needed:
If your issue is urgent, involves safety, or is an emergency (e.g., fire, gas leak, crime in progress), call 911 immediately. For non-emergency issues, contacting 311 directly is recommended for official complaint submission and status updates."
Which complaint types take the longest to resolve?,analysis_question,analysis_question,0.6,"Analysis output, not a single agency",Use the project output tables to support leadership recommendations.,none,PASS,"1. Likely issue  
You are asking which NYC 311 complaint types take the longest to resolve.

2. Recommended next step  
While specific complaint types with the longest resolution times are not directly listed in the data provided, the project data shows that response times vary widely, with the 95th percentile response time around 236 hours, indicating some complaints experience significant delays. For detailed insights, reviewing complaint-specific response time data or contacting 311 for more granular statistics would be helpful.

3. Agency or service area  
This analysis spans multiple complaint types and agencies; no single agency is responsible for all longest-resolution complaints.

4. Notes from project or NYC 311 data, if available  
- Illegal Parking is the most common complaint type, but volume alone does not indicate longest resolution time.  
- Median response time is about 4.6 hours, but the upper tail (95th percentile) extends to nearly 10 days, showing some complaints take much longer.  
- Modeling efforts (logistic regression and random forest) help predict which requests may not close same-day or may have longer response times, supporting operational improvements.

5. Escalation guidance if needed  
If you have a specific complaint type or case in mind with unusually long delays, contacting 311 directly or the relevant agency may provide more precise information. For emergencies or urgent safety issues, always call 911.  

This prototype does not submit official 311 requests or check live status."
Which borough has the most complaints?,analysis_question,analysis_question,0.6,"Analysis output, not a single agency",Use the project output tables to support leadership recommendations.,none,PASS,"1. Likely issue: The user is asking which NYC borough has the highest number of 311 complaints.

2. Recommended next step: Review the complaint counts by borough to understand where most requests originate. This can help in resource allocation or operational planning.

3. Agency or service area: This is an analysis question spanning all NYC boroughs; no single agency is responsible.

4. Notes from project or NYC 311 data: According to the project data, Brooklyn has the highest number of complaints with 6,206,211 records, followed by Queens and the Bronx. The most common complaint type overall is Illegal Parking.

5. Escalation guidance if needed: No escalation needed for this informational query. For specific complaint submissions or issues, users should contact 311 directly."
What patterns do you see in service request delays?,analysis_question,analysis_question,0.75,"Analysis output, not a single agency",Use the project output tables to support leadership recommendations.,none,PASS,"1. Likely issue  
Patterns in service request delays show that while the median response time is about 4.6 hours, there is a significant delay in a subset of cases, with the 95th percentile response time reaching nearly 236 hours. This indicates that most requests are handled relatively quickly, but a smaller portion experience long delays.

2. Recommended next step  
For leadership or operational teams, focus on high-volume complaint types like Illegal Parking and boroughs with the most requests such as Brooklyn to prioritize resource allocation. Use predictive models like logistic regression and random forest regression to identify requests at risk of delay early and target interventions.

3. Agency or service area  
This analysis spans multiple NYC 311 service areas and agencies, as delays occur across various complaint types and locations.

4. Notes from project or NYC 311 data  
- Illegal Parking is the most common complaint, suggesting it heavily influences overall delay patterns.  
- Brooklyn has the highest volume of requests, which may contribute to longer response times there.  
- The wide gap between median and upper-tail response times highlights that delays are concentrated in a smaller subset of cases rather than being uniform.  
- Predictive modeling shows promise in identifying cases likely to miss same-day resolution, enabling proactive management.

5. Escalation guidance if needed  
This prototype does not handle live status checks or official submissions. For urgent issues or emergencies, call 911. For specific case status or complaints, contact NYC 311 directly."
What should leadership focus on based on the analysis?,analysis_question,analysis_question,0.9,"Analysis output, not a single agency",Use the project output tables to support leadership recommendations.,none,PASS,"1. Likely issue  
Leadership should focus on addressing the high volume of Illegal Parking complaints, optimizing resource allocation to Brooklyn where requests are most concentrated, and improving response times, especially for cases with significant delays.

2. Recommended next step  
Use the project output tables to prioritize operational improvements targeting Illegal Parking enforcement, allocate resources effectively to Brooklyn, and implement predictive models to identify and expedite cases at risk of delayed response.

3. Agency or service area  
This analysis informs multiple NYC agencies involved in parking enforcement, complaint response, and service delivery management citywide, with a focus on Brooklyn.

4. Notes from project or NYC 311 data, if available  
- Illegal Parking is the top complaint type with over 2.6 million records, indicating a critical area for leadership attention.  
- Brooklyn has the highest volume of requests, suggesting resource concentration there may improve service.  
- There is a large disparity between median and 95th percentile response times, highlighting delays in a subset of cases.  
- Predictive modeling (logistic regression and random forest) can support early identification of cases likely to miss same-day resolution or experience delays.

5. Escalation guidance if needed  
No escalation route is specified; leadership should use these insights to guide strategic planning and operational improvements. For specific urgent issues or emergencies, users should call 911."
